,min_spectro_db,max_spectro_db,filename
123,-41.15536,38.84464,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
124,-40.51076,39.48924,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
125,-41.314693,38.685307,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
126,-38.166245,41.833755,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
127,-37.53647,42.46353,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
128,-37.693768,42.306232,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
129,-41.092525,38.907475,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
130,-39.84306,40.15694,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
131,-39.47674,40.52326,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
132,-36.922375,43.077625,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
133,-41.001225,38.998775,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
134,-42.167423,37.832577,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
135,-40.453842,39.546158,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
136,-40.45295,39.54705,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
137,-40.680992,39.319008,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
138,-35.383377,44.616623,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
139,-34.560356,45.439644,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
140,-37.379833,42.620167,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
141,-39.535896,40.464104,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
142,-43.637794,36.362206,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
143,-42.029568,37.970432,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
144,-40.89621,39.10379,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
145,-40.408924,39.591076,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
146,-42.5432,37.4568,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
147,-43.19346,36.80654,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
148,-37.823746,42.176254,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
149,-39.829792,40.170208,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
150,-40.050323,39.949677,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
151,-38.584156,41.415844,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
152,-41.503796,38.496204,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
